名前,画像パス,階級,種目
井上尚弥,fighters/inoue_naoya.jpg,"バンタム級,スーパーバンタム級",ボクシング
那須川天心,fighters/nasukawa_tenshin.jpg,バンタム級,"ボクシング,キックボクシング"
武尊,fighters/takeru.jpg,"フェザー級,フライ級",キックボクシング
朝倉海,fighters/asakura_kai.jpg,"バンタム級,フライ級",MMA
堀口恭司,fighters/horiguchi_kyoji.jpg,フライ級,MMA
マネル・ケイプ,fighters/manel_kape.jpg,フライ級,MMA
フアン・アーチュレッタ,fighters/juan_archuleta.jpg,バンタム級,MMA
芦澤竜誠,fighters/ashizawa_ryusei.jpg,バンタム級,MMA
井上直樹,fighters/inoue_naoki.jpg,バンタム級,MMA
ダニー・サバテロ,fighters/danny_sabatello.jpg,バンタム級,MMA
朝倉未来,fighters/asakura_mikuru.jpg,フェザー級,MMA
久保優太,fighters/kubo_yuta.jpg,フェザー級,"MMA,キックボクシング"
ラジャブアリ・シェイドゥラエフ,fighters/razhabali_shaidulloev.jpg,フェザー級,MMA
平本蓮,fighters/hiramoto_ren.jpg,フェザー級,MMA
イルホム・ノジモフ,fighters/ilkhom_nozhimov.jpg,フェザー級,MMA
クレベル・コイケ,fighters/kuraveru_koike.jpg,フェザー級,MMA
カルシャガ・ダウトベック,fighters/karushaga_dautbek.jpg,フェザー級,MMA
鈴木千裕,fighters/suzuki_chihiro.jpg,フェザー級,MMA
ヴガール・ケラモフ,fighters/vugar_keramov.jpg,フェザー級,MMA
ビクター・コレスニック,fighters/viktor_kolesnik.jpg,フェザー級,MMA
YA-MAN,fighters/yam_an.jpg,フェザー級,MMA
斎藤裕,fighters/saito_yutaka.jpg,フェザー級,MMA
摩嶋一整,fighters/majima_kazumasa.jpg,フェザー級,MMA
秋元強真,fighters/akimoto_kyoma.jpg,フェザー級,MMA
ソン・ヨンジェ,fighters/son_young_jae.jpg,フェザー級,MMA
中原由貴,fighters/nakahara_yuki.jpg,フェザー級,MMA
今成正和,fighters/imanari_masakazu.jpg,フェザー級,MMA
ジ・ヒョクミン,fighters/ji_hyok_min.jpg,フェザー級,MMA
武田光司,fighters/takeda_koji.jpg,フェザー級,MMA
高木凌,fighters/takagi_ryo.jpg,フェザー級,MMA
木村柊也,fighters/kimura_shuya.jpg,フェザー級,MMA
萩原京平,fighters/hagiwara_kyohei.jpg,フェザー級,MMA
